name	current	proposed	katakana	note
theodore	seodore	seodoa	セオドア
jameson	jameson	jeimuson	ジェイムソン
emersyn	emerusin	emāshin	エマーシン
nathaniel	nasanieru	nasanieru	ナサニエル	変更なし
sloane	suroane	surōn	スローン
melanie	meranie	meranī	メラニー
zion	zion	zaion	ザイオン
brielle	buriere	burieru	ブリエル
dawson	dauson	dōson	ドーソン
aubrey	auburei	ōburī	オーブリー
evangeline	ebangerine	ebanjerin	エヴァンジェリン
genevieve	genebiebe	jenebību	ジェネヴィーヴ
kehlani	kehurani	kerāni	ケラーニ
june	june	jūn	ジューン
summer	sumeru	samā	サマー
oaklynn	oakurin	ōkurin	オークリン
ember	emuberu	enbā	エンバー
piper	piperu	paipā	パイパー
jude	jude	jūdo	ジュード
oakley	oakurei	ōkurī	オークリー
jaxson	jakususon	jakuson	ジャクソン
phoebe	foebe	fībī	フィービー
colter	koruteru	korutā	コルター
arya	aruya	āria	アーリア
wrenley	urenrei	renrī	レンリー
sage	sage	seiji	セージ
hayden	haiden	heiden	ヘイデン
hayes	hayesu	heizu	ヘイズ
ashley	asurei	ashurī	アシュリー
ace	ase	ēsu	エース
nevaeh	nebaehu	nebeia	ネヴェイア
jason	jason	jeison	ジェイソン
isabelle	isabere	izaberu	イザベル
connor	konoru	konā	コナー
skylar	sukiraru	sukairā	スカイラー
jayce	jaise	jeisu	ジェイス
beckham	bekuhamu	bekamu	ベッカム
blair	burairu	burea	ブレア
gemma	gema	jema	ジェマ
rosalie	rosarie	rōzarī	ローザリー
vivienne	bibiene	bibienu	ヴィヴィエンヌ
ruth	rusu	rūsu	ルース	normで同一・辞書不要
jesus	jesusu	hesusu	ヘスス	⚠西語読み採用
callie	karie	kyarī	キャリー
freya	fureya	fureiya	フレイヤ
isabel	isaberu	izaberu	イザベル
daphne	dafune	dafune	ダフネ	変更なし
judah	judahu	jūda	ジューダ
lilah	rirahu	raira	ライラ
sutton	suton	saton	サットン
tucker	tukeru	takā	タッカー
annie	anie	anī	アニー
cole	kore	kōru	コール
ximena	kusuimena	himena	ヒメナ
ryker	rikeru	raikā	ライカー
jesse	jese	jeshī	ジェシー
katherine	kaserine	kyasarin	キャサリン
lila	rira	raira	ライラ
peter	peteru	pītā	ピーター
rhett	ruheto	reto	レット
tatum	tatumu	teitamu	テイタム
haven	haben	heibun	ヘイヴン
blakely	burakeri	bureikurī	ブレイクリー
reese	reese	rīsu	リース
chase	chase	cheisu	チェイス
legend	regendo	rejendo	レジェンド
everleigh	ebereiguhu	ebārī	エヴァーリー
tate	tate	teito	テイト
alejandro	arejandoro	arehandoro	アレハンドロ
molly	mori	morī	モリー	normで同一・辞書不要
knox	kunokusu	nokusu	ノックス
olive	oribe	orību	オリーブ
ashton	asuton	ashuton	アシュトン
peyton	peiton	peiton	ペイトン	変更なし
mabel	maberu	meiberu	メイベル
caden	kaden	keiden	ケイデン
noelle	noere	noeru	ノエル
stevie	sutebie	sutībī	スティービー
timothy	timosi	timoshī	ティモシー	音は同一（si=shi）・表記統一
kylie	kirie	kairī	カイリー
celine	serine	serīnu	セリーヌ
messiah	mesiahu	mesaia	メサイア
adaline	adarine	adarain	アダライン	⚠アダリン=adarin もあり
bailey	bairei	beirī	ベイリー
abraham	aburahamu	eiburahamu	エイブラハム	⚠聖書名はアブラハム
myla	mira	maira	マイラ
victor	bikutoru	bikutā	ビクター	⚠ビクトル=bikutoru もあり
miguel	migueru	migeru	ミゲル
malakai	marakai	marakai	マラカイ	変更なし
zayden	zaiden	zeiden	ゼイデン
dahlia	dahuria	daria	ダリア
bentley	bentorei	bentorē	ベントレー
selah	serahu	sera	セラ
zachary	zachari	zakarī	ザカリー	ch=k音
saylor	sairoru	seirā	セイラー
baker	bakeru	beikā	ベイカー
tyler	tireru	tairā	タイラー
jane	jane	jēn	ジェーン
elise	erise	erīsu	エリース	⚠エリーゼ=erīze 風もあり
oscar	osukaru	osukā	オスカー
alaina	araina	areina	アレイナ
presley	puresurei	puresurī	プレスリー
cohen	kohen	kōen	コーエン
gracie	gurasie	gureishī	グレイシー
callahan	karahan	kyarahan	キャラハン
mackenzie	makenzie	makenjī	マッケンジー
brayden	buraiden	bureiden	ブレイデン
simon	simon	saimon	サイモン
wren	uren	ren	レン
abel	aberu	eiberu	エイベル	⚠聖書名はアベル
palmer	parumeru	pāmā	パーマー
maisie	maisie	meijī	メイジー
justin	jusutin	jasutin	ジャスティン
richard	richarudo	richādo	リチャード
nyla	nira	naira	ナイラ
alexandra	arekusuandora	arekusandora	アレクサンドラ
kaiden	kaiden	keiden	ケイデン	⚠カイデン読みの家庭もあり
ada	ada	eida	エイダ
